"as_of","location","target","target_end_date","observation"
2026-03-08,"NY","wk inc covid hosp",2025-03-22,783
2026-03-08,"NY","wk inc covid hosp",2025-03-29,832
2026-03-08,"NY","wk inc covid hosp",2025-04-05,727
2026-03-08,"NY","wk inc covid hosp",2025-04-12,719
2026-03-08,"NY","wk inc covid hosp",2025-04-19,711
2026-03-08,"NY","wk inc covid hosp",2025-04-26,692
2026-03-08,"NY","wk inc covid hosp",2025-05-03,590
2026-03-08,"NY","wk inc covid hosp",2025-05-10,424
2026-03-08,"NY","wk inc covid hosp",2025-05-17,391
2026-03-08,"NY","wk inc covid hosp",2025-05-24,291
2026-03-08,"NY","wk inc covid hosp",2025-05-31,319
2026-03-08,"NY","wk inc covid hosp",2025-06-07,314
2026-03-08,"NY","wk inc covid hosp",2025-06-14,269
2026-03-08,"NY","wk inc covid hosp",2025-06-21,276
2026-03-08,"NY","wk inc covid hosp",2025-06-28,214
2026-03-08,"NY","wk inc covid hosp",2025-07-05,228
2026-03-08,"NY","wk inc covid hosp",2025-07-12,231
2026-03-08,"NY","wk inc covid hosp",2025-07-19,275
2026-03-08,"NY","wk inc covid hosp",2025-07-26,291
2026-03-08,"NY","wk inc covid hosp",2025-08-02,352
2026-03-08,"NY","wk inc covid hosp",2025-08-09,368
2026-03-08,"NY","wk inc covid hosp",2025-08-16,419
2026-03-08,"NY","wk inc covid hosp",2025-08-23,430
2026-03-08,"NY","wk inc covid hosp",2025-08-30,420
2026-03-08,"NY","wk inc covid hosp",2025-09-06,481
2026-03-08,"NY","wk inc covid hosp",2025-09-13,461
2026-03-08,"NY","wk inc covid hosp",2025-09-20,568
2026-03-08,"NY","wk inc covid hosp",2025-09-27,549
2026-03-08,"NY","wk inc covid hosp",2025-10-04,462
2026-03-08,"NY","wk inc covid hosp",2025-10-11,426
2026-03-08,"NY","wk inc covid hosp",2025-10-18,339
2026-03-08,"NY","wk inc covid hosp",2025-10-25,280
2026-03-08,"NY","wk inc covid hosp",2025-11-01,259
2026-03-08,"NY","wk inc covid hosp",2025-11-08,243
